staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
61,0.5,7.0,76.91079370899934,77.40538515799926,77.40538515799926,77.41469236299963,77.70472728499954,left,-7.0,1,1,0.4167625739992218,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
62,0.5,7.0,77.83845263100011,78.32703141400088,78.32703141400088,78.33742369299944,78.62568394700065,left,-7.0,1,1,0.37115334299960523,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
63,0.5,7.0,78.71578485600003,79.20916789500006,79.20916789500006,79.22135230999993,79.50754666400098,right,7.0,1,1,0.47595440799887,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
64,0.5,6.5,79.70908725899972,80.19121153199922,80.19121153199922,80.21182439999939,80.49074896300044,left,-6.5,1,1,0.4125690279979608,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
65,0.5,6.5,80.63802020900039,81.12258997400022,81.12258997400022,81.13819148400034,81.42532194299929,left,-6.5,1,1,0.37551788100063277,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
66,0.5,6.5,81.51600898099969,81.99857159800013,81.99857159800013,82.01001195900062,82.29625229900012,right,6.5,1,1,0.5506612109984417,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
67,0.5,6.0,82.57653515099992,83.06470298800014,83.06470298800014,83.07526041299934,83.3633764770002,left,-6.0,1,1,0.35464655100076925,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
68,0.5,6.0,83.43407741299961,83.92087396600073,83.92087396600073,83.9318125030004,84.22105121599998,left,-6.0,1,1,0.372123853998346,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
69,0.5,6.0,84.3084702110009,84.79723528000068,84.79723528000068,84.80889813499925,85.09645058999922,left,-6.0,1,1,0.371867112999098,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
70,0.5,5.5,85.18729937699936,85.67695327600086,85.67695327600086,85.70319326000026,85.97968764899997,right,5.5,1,1,0.4842727380000724,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
71,0.5,5.5,86.18230012599997,86.67146074300035,86.67146074300035,86.68236090299979,86.97136933299953,left,-5.5,1,1,0.41826534400024684,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
72,0.5,5.5,87.10420537400023,87.59170519500003,87.59170519500003,87.60697944999993,87.89370505999977,left,-5.5,1,1,0.3981287189981231,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
73,0.5,5.0,88.00558847499997,88.49295676300062,88.49295676300062,88.50654639300046,88.78780818099949,left,-5.0,1,1,0.35979076999865356,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
74,0.5,5.0,88.86621242000001,89.35531484000057,89.35531484000057,89.3649408250003,89.65452582599937,right,5.0,1,1,0.40724167000007583,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
75,0.5,5.0,89.78351614299936,90.2657179529997,90.2657179529997,90.29000890399948,90.57128817299963,right,5.0,1,1,0.370905675999893,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
76,0.5,4.5,90.6496734049997,91.1380931420008,91.1380931420008,91.14845822899952,91.43778257200029,left,-4.5,1,1,0.4657242329994915,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
77,0.5,4.5,91.61711273199944,92.10486302999925,92.10486302999925,92.1151227499995,92.40481056200042,left,-4.5,1,1,0.3976185639985488,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
78,0.5,4.5,92.5157710679996,93.00445773700085,93.00445773700085,93.01465411599929,93.30446345199925,right,4.5,1,1,0.4023646229998121,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
79,0.5,4.0,93.42763065300096,93.92104580399973,93.92104580399973,93.93170059899967,94.22111642600066,left,-4.0,0,0,0.389010987999427,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
80,0.5,4.5,94.33462580800006,94.82522845499989,94.82522845499989,94.83860920000006,95.12112204500045,left,-4.5,1,1,0.7123817369993048,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
81,0.5,4.5,95.57040702000086,96.05349772699992,96.05349772699992,96.07242908999979,96.35664796799938,left,-4.5,1,1,0.3751758139987942,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
82,0.5,4.5,96.44440001399926,96.93346250899958,96.93346250899958,96.94610022000052,97.2375263899994,left,-4.5,1,1,0.3686584400002175,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
83,0.5,4.0,97.31590943300034,97.81172463999974,97.81172463999974,97.81172463999974,98.11296254800072,right,4.0,1,1,0.47646538200024224,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
84,0.5,4.0,98.30449262399998,98.79357467800037,98.79357467800037,98.82003439999971,99.09052413400059,right,4.0,1,1,0.5363041769996926,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
85,0.5,4.0,99.34529010900042,99.83206519399937,99.83206519399937,99.84306275299969,100.12835307100067,right,4.0,1,1,0.5082003209990944,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
86,0.5,3.5,100.35355256799994,100.84474453700022,100.84474453700022,100.85739571399972,101.14656304799973,left,-3.5,1,1,0.5406169299985777,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
87,0.5,3.5,101.40559311200013,101.89812268900096,101.89812268900096,101.89812268900096,102.19634946000042,left,-3.5,1,1,0.3834769539989793,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
88,0.5,3.5,102.298616434,102.78782965000028,102.78782965000028,102.79835491700032,103.08749249900029,right,3.5,0,0,0.43431889499879617,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
89,0.5,4.0,103.253726672001,103.72715112600054,103.72715112600054,103.75456168200071,104.0290179980002,right,4.0,1,1,0.5422587299981387,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
90,0.5,4.0,104.28455782499987,104.77622153599987,104.77622153599987,104.7888925490006,105.07507876800082,right,4.0,1,1,0.48798954199992295,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
91,0.5,4.0,105.28987153699927,105.78165915600039,105.78165915600039,105.79235218599933,106.08734028400067,right,4.0,1,1,0.5707578389992705,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
92,0.5,3.5,106.36598187600066,106.849390116,106.849390116,106.86073726799987,107.14554264899925,left,-3.5,1,1,0.5459225609993155,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
93,0.5,3.5,107.41047416800029,107.90517677900061,107.90517677900061,107.90517677900061,108.2042092669999,right,3.5,1,1,0.3846732290003274,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
94,0.5,3.5,108.30562240799918,108.80497618300069,108.80497618300069,108.80497618300069,109.12333259200022,left,-3.5,1,1,0.5256494989989733,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
95,0.5,3.0,109.35179999399952,109.83827981399918,109.83827981399918,109.8473133080006,110.13769017900086,right,3.0,1,1,0.369727948000218,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
96,0.5,3.0,110.22699228099918,110.71750628399968,110.71750628399968,110.72865199800071,111.01322842599984,left,-3.0,1,1,0.5757853369996155,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
97,0.5,3.0,111.31552772199939,111.80530690600062,111.80530690600062,111.81567891799932,112.10419987999921,left,-3.0,0,0,0.33875865999834787,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
98,0.5,3.5,112.1594700429996,112.6486893729998,112.6486893729998,112.65926337100063,112.95429169400086,left,-3.5,1,1,0.6116122549992724,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
99,0.5,3.5,113.27728544999991,113.77109477900012,113.77109477900012,113.78201491899927,114.07077452900012,right,3.5,1,1,0.5647332780008583,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
100,0.5,3.5,114.34931006400075,114.84280490899982,114.84280490899982,114.85489157300071,115.14193049400092,right,3.5,1,1,0.4090550519995304,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
101,0.5,3.0,115.2655361649995,115.76997912099978,115.76997912099978,115.78795215600076,116.06310553100047,left,-3.0,1,1,0.6337240920001932,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
102,0.5,3.0,116.43805222400078,116.92098583299958,116.92098583299958,116.93042709399924,117.22999120299937,right,3.0,1,1,0.38237226299861504,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
103,0.5,3.0,117.3216711240002,117.80863384700024,117.80863384700024,117.82114442800048,118.10852569800045,right,3.0,1,1,0.35248326399960206,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
104,0.5,2.5,118.17642316099955,118.66326605799986,118.66326605799986,118.6765846569997,118.95802141199965,left,-2.5,1,1,0.5424562450007215,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
105,0.5,2.5,119.22128881000026,119.7093841370006,119.7093841370006,119.71996399300042,120.00814906900086,right,2.5,1,1,0.5347658859991498,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
106,0.5,2.5,120.27071469600014,120.75515383399943,120.75515383399943,120.76472374200057,121.04709502100013,left,-2.5,1,1,0.49346157199943264,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
107,0.5,2.0,121.27130570200097,121.75942401099928,121.75942401099928,121.77389211400077,122.05741366199982,right,2.0,1,1,0.5277108299997053,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
108,0.5,2.0,122.3001342890002,122.78836797300028,122.78836797300028,122.79751131199919,123.08802094199928,right,2.0,1,1,0.6048319869987608,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
109,0.5,2.0,123.40906317699955,123.89872121600092,123.89872121600092,123.90952005200052,124.19620972600023,left,-2.0,1,1,0.47020755399898917,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
110,0.5,1.5,124.38279376600076,124.86791428300057,124.86791428300057,124.88082811599998,125.16279961600048,left,-1.5,1,1,0.6176013879994571,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
111,0.5,1.5,125.5072977309992,126.0003740939992,126.0003740939992,126.01165719900018,126.30376456500017,right,1.5,1,1,0.5310107119985332,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
112,0.5,1.5,126.54846048999934,127.03733223699965,127.03733223699965,127.04769292700075,127.33745528899999,left,-1.5,1,1,0.6811966669993126,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
113,0.5,1.0,127.73933853100061,128.23090598499948,128.23090598499948,128.24382228499962,128.52579501999935,right,1.0,1,1,0.5213282360000449,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
114,0.5,1.0,128.76695302100052,129.25933606299986,129.25933606299986,129.27206132799984,129.55921564100026,left,-1.0,0,0,0.6658156440007588,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
115,0.5,1.5,129.9485654529999,130.43095621499924,130.43095621499924,130.44254513600026,130.72798493499977,right,1.5,1,1,0.5418520949988306,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
116,0.5,1.5,130.99290251999992,131.48854141999982,131.48854141999982,131.48854141999982,131.78700643400043,left,-1.5,1,1,0.546652749999339,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
